src/main/java/com/mb/MbSpringJwtApplication.java:9:	UnnecessaryAnnotationValueElement:	UnnecessaryAnnotationValueElement: Avoid the use of value in annotations when its the only element
src/main/java/com/mb/common/constant/UrlMapping.java:13:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/constant/UrlMapping.java:13:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/main/java/com/mb/common/constant/UrlMapping.java:16:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/constant/UrlMapping.java:16:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/main/java/com/mb/common/controller/HealthCheckController.java:20:	AtLeastOneConstructor:	AtLeastOneConstructor: Each class should declare at least one constructor
src/main/java/com/mb/common/controller/HealthCheckController.java:20:	CommentRequired:	CommentRequired: Class comments are required
src/main/java/com/mb/common/controller/HealthCheckController.java:23:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/controller/HealthCheckController.java:26:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/controller/HealthCheckController.java:37:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'healthCheck' could be declared final
src/main/java/com/mb/common/entity/AuditorAwareImpl.java:9:	AtLeastOneConstructor:	AtLeastOneConstructor: Each class should declare at least one constructor
src/main/java/com/mb/common/entity/AuditorAwareImpl.java:9:	CommentRequired:	CommentRequired: Class comments are required
src/main/java/com/mb/common/entity/AuditorAwareImpl.java:13:	LawOfDemeter:	LawOfDemeter: Potential violation of Law of Demeter (method chain calls)
src/main/java/com/mb/common/entity/AuditorAwareImpl.java:13:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'authentication' could be declared final
src/main/java/com/mb/common/entity/AuditorAwareImpl.java:16:	OnlyOneReturn:	OnlyOneReturn: A method should have only one exit point, and that should be the last statement in the method
src/main/java/com/mb/common/entity/BaseEntity.java:29:	CommentRequired:	CommentRequired: Class comments are required
src/main/java/com/mb/common/entity/BaseEntity.java:36:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/entity/BaseEntity.java:36:	ShortVariable:	ShortVariable: Avoid variables with short names like id
src/main/java/com/mb/common/entity/BaseEntity.java:41:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/entity/BaseEntity.java:46:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/entity/BaseEntity.java:50:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/entity/BaseEntity.java:54:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/entity/BaseEntity.java:58:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/enums/EntityStatus.java:3:	CommentRequired:	CommentRequired: Enum comments are required
src/main/java/com/mb/common/enums/UserType.java:3:	CommentRequired:	CommentRequired: Enum comments are required
src/main/java/com/mb/common/exception/CustomErrorCode.java:3:	ClassWithOnlyPrivateConstructorsShouldBeFinal:	ClassWithOnlyPrivateConstructorsShouldBeFinal: A class which only has private constructors should be final
src/main/java/com/mb/common/exception/CustomErrorCode.java:3:	CommentRequired:	CommentRequired: Class comments are required
src/main/java/com/mb/common/exception/CustomErrorCode.java:9:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/exception/CustomErrorCode.java:9:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/main/java/com/mb/common/exception/CustomErrorCode.java:9:	LongVariable:	LongVariable: Avoid excessively long variable names like INTERNAL_SERVER_ERROR
src/main/java/com/mb/common/exception/CustomErrorCode.java:10:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/exception/CustomErrorCode.java:10:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/main/java/com/mb/common/exception/CustomErrorCode.java:11:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/exception/CustomErrorCode.java:11:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/main/java/com/mb/common/exception/CustomErrorCode.java:12:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/exception/CustomErrorCode.java:12:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/main/java/com/mb/common/exception/CustomErrorCode.java:15:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/exception/CustomErrorCode.java:15:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/main/java/com/mb/common/exception/CustomErrorCode.java:16:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/exception/CustomErrorCode.java:16:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/main/java/com/mb/common/exception/CustomErrorCode.java:19:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/exception/CustomErrorCode.java:19:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/main/java/com/mb/common/exception/CustomErrorCode.java:19:	LongVariable:	LongVariable: Avoid excessively long variable names like USER_ALREADY_EXISTS
src/main/java/com/mb/common/exception/CustomException.java:8:	CommentRequired:	CommentRequired: Class comments are required
src/main/java/com/mb/common/exception/CustomException.java:11:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/exception/CustomException.java:12:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/exception/CustomException.java:14:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/main/java/com/mb/common/exception/CustomException.java:14:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'e' is not assigned and could be declared final
src/main/java/com/mb/common/exception/CustomException.java:14:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'errorCode' is not assigned and could be declared final
src/main/java/com/mb/common/exception/CustomException.java:14:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'httpStatus' is not assigned and could be declared final
src/main/java/com/mb/common/exception/CustomException.java:14:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'message' is not assigned and could be declared final
src/main/java/com/mb/common/exception/CustomException.java:14:	ShortVariable:	ShortVariable: Avoid variables with short names like e
src/main/java/com/mb/common/exception/CustomException.java:20:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/main/java/com/mb/common/exception/CustomException.java:20:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'errorCode' is not assigned and could be declared final
src/main/java/com/mb/common/exception/CustomException.java:20:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'httpStatus' is not assigned and could be declared final
src/main/java/com/mb/common/exception/CustomException.java:20:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'message' is not assigned and could be declared final
src/main/java/com/mb/common/exception/CustomExceptionHandler.java:22:	AtLeastOneConstructor:	AtLeastOneConstructor: Each class should declare at least one constructor
src/main/java/com/mb/common/exception/CustomExceptionHandler.java:22:	CommentRequired:	CommentRequired: Class comments are required
src/main/java/com/mb/common/exception/CustomExceptionHandler.java:25:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/exception/CustomExceptionHandler.java:28:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/exception/CustomExceptionHandler.java:38:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'customException' is not assigned and could be declared final
src/main/java/com/mb/common/exception/CustomExceptionHandler.java:52:	LongVariable:	LongVariable: Avoid excessively long variable names like nullPointerException
src/main/java/com/mb/common/exception/CustomExceptionHandler.java:52:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'nullPointerException' is not assigned and could be declared final
src/main/java/com/mb/common/exception/CustomExceptionHandler.java:64:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'ex' is not assigned and could be declared final
src/main/java/com/mb/common/exception/CustomExceptionHandler.java:64:	ShortVariable:	ShortVariable: Avoid variables with short names like ex
src/main/java/com/mb/common/exception/CustomExceptionHandler.java:65:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'headers' is not assigned and could be declared final
src/main/java/com/mb/common/exception/CustomExceptionHandler.java:65:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'request' is not assigned and could be declared final
src/main/java/com/mb/common/exception/CustomExceptionHandler.java:65:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'status' is not assigned and could be declared final
src/main/java/com/mb/common/exception/CustomExceptionHandler.java:67:	LawOfDemeter:	LawOfDemeter: Potential violation of Law of Demeter (method chain calls)
src/main/java/com/mb/common/exception/CustomExceptionHandler.java:67:	LawOfDemeter:	LawOfDemeter: Potential violation of Law of Demeter (method chain calls)
src/main/java/com/mb/common/exception/CustomExceptionHandler.java:67:	LawOfDemeter:	LawOfDemeter: Potential violation of Law of Demeter (method chain calls)
src/main/java/com/mb/common/exception/CustomExceptionHandler.java:67:	LawOfDemeter:	LawOfDemeter: Potential violation of Law of Demeter (method chain calls)
src/main/java/com/mb/common/exception/CustomExceptionHandler.java:67:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'fieldErrors' could be declared final
src/main/java/com/mb/common/exception/FieldError.java:10:	CommentRequired:	CommentRequired: Class comments are required
src/main/java/com/mb/common/exception/FieldError.java:12:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/exception/FieldError.java:14:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/exception/FieldError.java:16:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/model/AuthToken.java:8:	CommentRequired:	CommentRequired: Class comments are required
src/main/java/com/mb/common/model/AuthToken.java:10:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/model/AuthToken.java:12:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/model/AuthToken.java:14:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/model/ErrorResponse.java:18:	CommentRequired:	CommentRequired: Class comments are required
src/main/java/com/mb/common/model/ErrorResponse.java:20:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/model/ErrorResponse.java:22:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/model/ErrorResponse.java:24:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/model/ErrorResponse.java:26:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/model/ErrorResponse.java:28:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/model/HealthCheck.java:6:	CommentRequired:	CommentRequired: Class comments are required
src/main/java/com/mb/common/model/HealthCheck.java:8:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/model/HealthCheck.java:10:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/model/HealthCheck.java:12:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/model/HealthCheck.java:14:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/model/SuccessResponse.java:16:	CommentRequired:	CommentRequired: Class comments are required
src/main/java/com/mb/common/model/SuccessResponse.java:18:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/model/SuccessResponse.java:20:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/model/SuccessResponse.java:22:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/model/SuccessResponse.java:24:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/util/JwtTokenUtil.java:31:	AtLeastOneConstructor:	AtLeastOneConstructor: Each class should declare at least one constructor
src/main/java/com/mb/common/util/JwtTokenUtil.java:31:	CommentRequired:	CommentRequired: Class comments are required
src/main/java/com/mb/common/util/JwtTokenUtil.java:34:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/util/JwtTokenUtil.java:37:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/util/JwtTokenUtil.java:46:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'authentication' is not assigned and could be declared final
src/main/java/com/mb/common/util/JwtTokenUtil.java:48:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'user' could be declared final
src/main/java/com/mb/common/util/JwtTokenUtil.java:49:	LawOfDemeter:	LawOfDemeter: Potential violation of Law of Demeter (method chain calls)
src/main/java/com/mb/common/util/JwtTokenUtil.java:49:	LawOfDemeter:	LawOfDemeter: Potential violation of Law of Demeter (method chain calls)
src/main/java/com/mb/common/util/JwtTokenUtil.java:49:	LawOfDemeter:	LawOfDemeter: Potential violation of Law of Demeter (method chain calls)
src/main/java/com/mb/common/util/JwtTokenUtil.java:49:	LawOfDemeter:	LawOfDemeter: Potential violation of Law of Demeter (object not created locally)
src/main/java/com/mb/common/util/JwtTokenUtil.java:49:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'authorities' could be declared final
src/main/java/com/mb/common/util/JwtTokenUtil.java:52:	LawOfDemeter:	LawOfDemeter: Potential violation of Law of Demeter (object not created locally)
src/main/java/com/mb/common/util/JwtTokenUtil.java:52:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'accessTokenClaims' could be declared final
src/main/java/com/mb/common/util/JwtTokenUtil.java:54:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'accessToken' could be declared final
src/main/java/com/mb/common/util/JwtTokenUtil.java:56:	LawOfDemeter:	LawOfDemeter: Potential violation of Law of Demeter (object not created locally)
src/main/java/com/mb/common/util/JwtTokenUtil.java:56:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'refreshTokenClaims' could be declared final
src/main/java/com/mb/common/util/JwtTokenUtil.java:56:	LongVariable:	LongVariable: Avoid excessively long variable names like refreshTokenClaims
src/main/java/com/mb/common/util/JwtTokenUtil.java:58:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'refreshToken' could be declared final
src/main/java/com/mb/common/util/JwtTokenUtil.java:70:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'token' is not assigned and could be declared final
src/main/java/com/mb/common/util/JwtTokenUtil.java:72:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'signedJWT' could be declared final
src/main/java/com/mb/common/util/JwtTokenUtil.java:73:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'verifier' could be declared final
src/main/java/com/mb/common/util/JwtTokenUtil.java:74:	LawOfDemeter:	LawOfDemeter: Potential violation of Law of Demeter (object not created locally)
src/main/java/com/mb/common/util/JwtTokenUtil.java:75:	LawOfDemeter:	LawOfDemeter: Potential violation of Law of Demeter (object not created locally)
src/main/java/com/mb/common/util/JwtTokenUtil.java:75:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'jwtClaimsSet' could be declared final
src/main/java/com/mb/common/util/JwtTokenUtil.java:77:	UnnecessaryLocalBeforeReturn:	UnnecessaryLocalBeforeReturn: Consider simply returning the value vs storing it in local variable 'jwtClaimsSet'
src/main/java/com/mb/common/util/JwtTokenUtil.java:91:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'expirationDate' is not assigned and could be declared final
src/main/java/com/mb/common/util/JwtTokenUtil.java:105:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'claimsSet' is not assigned and could be declared final
src/main/java/com/mb/common/util/JwtTokenUtil.java:107:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'signedJWT' could be declared final
src/main/java/com/mb/common/util/JwtTokenUtil.java:117:	CommentSize:	CommentSize: Comment is too large: Too many lines
src/main/java/com/mb/common/util/JwtTokenUtil.java:126:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'authorities' is not assigned and could be declared final
src/main/java/com/mb/common/util/JwtTokenUtil.java:126:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'milliseconds' is not assigned and could be declared final
src/main/java/com/mb/common/util/JwtTokenUtil.java:126:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'subject' is not assigned and could be declared final
src/main/java/com/mb/common/util/JwtTokenUtil.java:139:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'milliseconds' is not assigned and could be declared final
src/main/java/com/mb/common/util/Mapper.java:18:	AtLeastOneConstructor:	AtLeastOneConstructor: Each class should declare at least one constructor
src/main/java/com/mb/common/util/Mapper.java:18:	CommentRequired:	CommentRequired: Class comments are required
src/main/java/com/mb/common/util/Mapper.java:21:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/util/Mapper.java:23:	CommentSize:	CommentSize: Comment is too large: Too many lines
src/main/java/com/mb/common/util/Mapper.java:32:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'srcObj' is not assigned and could be declared final
src/main/java/com/mb/common/util/Mapper.java:32:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'targetClass' is not assigned and could be declared final
src/main/java/com/mb/common/util/Mapper.java:33:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'modelMapper' could be declared final
src/main/java/com/mb/common/util/Mapper.java:34:	LawOfDemeter:	LawOfDemeter: Potential violation of Law of Demeter (method chain calls)
src/main/java/com/mb/common/util/Mapper.java:35:	LawOfDemeter:	LawOfDemeter: Potential violation of Law of Demeter (method chain calls)
src/main/java/com/mb/common/util/Mapper.java:39:	AvoidCatchingGenericException:	AvoidCatchingGenericException: Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block
src/main/java/com/mb/common/util/Mapper.java:45:	CommentSize:	CommentSize: Comment is too large: Too many lines
src/main/java/com/mb/common/util/Mapper.java:55:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'srcList' is not assigned and could be declared final
src/main/java/com/mb/common/util/Mapper.java:55:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'targetClass' is not assigned and could be declared final
src/main/java/com/mb/common/util/Mapper.java:56:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'response' could be declared final
src/main/java/com/mb/common/util/Mapper.java:57:	LawOfDemeter:	LawOfDemeter: Potential violation of Law of Demeter (method chain calls)
src/main/java/com/mb/common/util/ResponseBuilder.java:16:	AtLeastOneConstructor:	AtLeastOneConstructor: Each class should declare at least one constructor
src/main/java/com/mb/common/util/ResponseBuilder.java:16:	CommentRequired:	CommentRequired: Class comments are required
src/main/java/com/mb/common/util/ResponseBuilder.java:18:	CommentSize:	CommentSize: Comment is too large: Too many lines
src/main/java/com/mb/common/util/ResponseBuilder.java:28:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'data' is not assigned and could be declared final
src/main/java/com/mb/common/util/ResponseBuilder.java:28:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'httpStatus' is not assigned and could be declared final
src/main/java/com/mb/common/util/ResponseBuilder.java:28:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'message' is not assigned and could be declared final
src/main/java/com/mb/common/util/ResponseBuilder.java:30:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'response' could be declared final
src/main/java/com/mb/common/util/ResponseBuilder.java:39:	CommentSize:	CommentSize: Comment is too large: Too many lines
src/main/java/com/mb/common/util/ResponseBuilder.java:48:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'errorCode' is not assigned and could be declared final
src/main/java/com/mb/common/util/ResponseBuilder.java:48:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'httpStatus' is not assigned and could be declared final
src/main/java/com/mb/common/util/ResponseBuilder.java:48:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'message' is not assigned and could be declared final
src/main/java/com/mb/common/util/ResponseBuilder.java:50:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'response' could be declared final
src/main/java/com/mb/common/util/ResponseBuilder.java:67:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'fieldErrors' is not assigned and could be declared final
src/main/java/com/mb/common/util/ResponseBuilder.java:67:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'message' is not assigned and could be declared final
src/main/java/com/mb/common/util/ResponseBuilder.java:69:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'response' could be declared final
src/main/java/com/mb/common/util/ResponseBuilder.java:71:	LawOfDemeter:	LawOfDemeter: Potential violation of Law of Demeter (static property access)
src/main/java/com/mb/user/controller/AuthController.java:25:	AtLeastOneConstructor:	AtLeastOneConstructor: Each class should declare at least one constructor
src/main/java/com/mb/user/controller/AuthController.java:25:	CommentRequired:	CommentRequired: Class comments are required
src/main/java/com/mb/user/controller/AuthController.java:28:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/user/controller/AuthController.java:31:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/user/controller/AuthController.java:34:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/user/controller/AuthController.java:44:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'signupDto' is not assigned and could be declared final
src/main/java/com/mb/user/controller/AuthController.java:60:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'loginDto' is not assigned and could be declared final
src/main/java/com/mb/user/controller/AuthController.java:62:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'authToken' could be declared final
src/main/java/com/mb/user/dao/UserDaoImpl.java:18:	AtLeastOneConstructor:	AtLeastOneConstructor: Each class should declare at least one constructor
src/main/java/com/mb/user/dao/UserDaoImpl.java:18:	CommentRequired:	CommentRequired: Class comments are required
src/main/java/com/mb/user/dao/UserDaoImpl.java:21:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/user/dao/UserDaoImpl.java:24:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/user/dao/UserDaoImpl.java:27:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/user/dao/UserDaoImpl.java:37:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'email' is not assigned and could be declared final
src/main/java/com/mb/user/dao/UserDaoImpl.java:40:	AvoidCatchingGenericException:	AvoidCatchingGenericException: Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block
src/main/java/com/mb/user/dao/UserDaoImpl.java:54:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'user' is not assigned and could be declared final
src/main/java/com/mb/user/dao/UserDaoImpl.java:57:	AvoidCatchingGenericException:	AvoidCatchingGenericException: Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block
src/main/java/com/mb/user/dao/UserDaoImpl.java:71:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'userType' is not assigned and could be declared final
src/main/java/com/mb/user/dao/UserDaoImpl.java:73:	LawOfDemeter:	LawOfDemeter: Potential violation of Law of Demeter (method chain calls)
src/main/java/com/mb/user/dao/UserDaoImpl.java:76:	AvoidCatchingGenericException:	AvoidCatchingGenericException: Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block
src/main/java/com/mb/user/dto/LoginDto.java:8:	AtLeastOneConstructor:	AtLeastOneConstructor: Each class should declare at least one constructor
src/main/java/com/mb/user/dto/LoginDto.java:8:	CommentRequired:	CommentRequired: Class comments are required
src/main/java/com/mb/user/dto/LoginDto.java:12:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/user/dto/LoginDto.java:15:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/user/dto/SignupDto.java:8:	AtLeastOneConstructor:	AtLeastOneConstructor: Each class should declare at least one constructor
src/main/java/com/mb/user/dto/SignupDto.java:8:	CommentRequired:	CommentRequired: Class comments are required
src/main/java/com/mb/user/dto/SignupDto.java:11:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/user/dto/SignupDto.java:14:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/user/dto/SignupDto.java:18:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/user/dto/SignupDto.java:21:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/user/entity/Role.java:23:	CommentRequired:	CommentRequired: Class comments are required
src/main/java/com/mb/user/entity/Role.java:23:	ShortClassName:	ShortClassName: Avoid short class names like Role
src/main/java/com/mb/user/entity/Role.java:28:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/user/entity/Role.java:32:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/user/entity/User.java:26:	CommentRequired:	CommentRequired: Class comments are required
src/main/java/com/mb/user/entity/User.java:26:	ShortClassName:	ShortClassName: Avoid short class names like User
src/main/java/com/mb/user/entity/User.java:31:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/user/entity/User.java:34:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/user/entity/User.java:37:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/user/entity/User.java:40:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/user/entity/User.java:43:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/user/entity/User.java:46:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/user/entity/User.java:50:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/user/entity/UserRole.java:23:	CommentRequired:	CommentRequired: Class comments are required
src/main/java/com/mb/user/entity/UserRole.java:29:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/user/entity/UserRole.java:33:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/user/repo/RoleRepo.java:10:	CommentRequired:	CommentRequired: Class comments are required
src/main/java/com/mb/user/repo/RoleRepo.java:12:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/main/java/com/mb/user/repo/UserRepo.java:7:	CommentRequired:	CommentRequired: Class comments are required
src/main/java/com/mb/user/repo/UserRepo.java:9:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/main/java/com/mb/user/service/AuthService.java:9:	CommentRequired:	CommentRequired: Class comments are required
src/main/java/com/mb/user/service/AuthServiceImpl.java:34:	AtLeastOneConstructor:	AtLeastOneConstructor: Each class should declare at least one constructor
src/main/java/com/mb/user/service/AuthServiceImpl.java:34:	CommentRequired:	CommentRequired: Class comments are required
